date,sp500
1999-03-25,1289.99
1999-03-26,1282.8
1999-03-29,1310.17
1999-03-30,1300.75
1999-03-31,1286.37
1999-04-01,1293.72
1999-04-05,1321.12
1999-04-06,1317.89
1999-04-07,1326.89
1999-04-08,1343.98
1999-04-09,1348.35
1999-04-12,1358.63
1999-04-13,1349.82
1999-04-14,1328.44
1999-04-15,1322.85
1999-04-16,1319
1999-04-19,1289.48
1999-04-20,1306.17
1999-04-21,1336.12
1999-04-22,1358.82
1999-04-23,1356.85
1999-04-26,1360.04
1999-04-27,1362.8
1999-04-28,1350.91
1999-04-29,1342.83
1999-04-30,1335.18
1999-05-03,1354.63
1999-05-04,1332
1999-05-05,1347.31
1999-05-06,1332.05
1999-05-07,1345
1999-05-10,1340.3
1999-05-11,1355.61
1999-05-12,1364
1999-05-13,1367.56
1999-05-14,1337.8
1999-05-17,1339.49
1999-05-18,1333.32
1999-05-19,1344.23
1999-05-20,1338.83
1999-05-21,1330.29
1999-05-24,1306.65
1999-05-25,1284.4
1999-05-26,1304.76
1999-05-27,1281.41
1999-05-28,1301.84
1999-06-01,1294.26
1999-06-02,1294.81
1999-06-03,1299.54
1999-06-04,1327.75
1999-06-07,1334.52
1999-06-08,1317.33
1999-06-09,1318.64
1999-06-10,1302.82
1999-06-11,1293.64
1999-06-14,1294
1999-06-15,1301.16
1999-06-16,1330.41
1999-06-17,1339.9
1999-06-18,1342.84
1999-06-21,1349
1999-06-22,1335.88
1999-06-23,1333.06
1999-06-24,1315.78
1999-06-25,1315.31
1999-06-28,1331.35
1999-06-29,1351.45
1999-06-30,1372.71
1999-07-01,1380.96
1999-07-02,1391.22
1999-07-06,1388.12
1999-07-07,1395.86
1999-07-08,1394.42
1999-07-09,1403.28
1999-07-12,1399.1
1999-07-13,1393.56
1999-07-14,1398.17
1999-07-15,1409.62
1999-07-16,1418.78
1999-07-19,1407.65
1999-07-20,1377.1
1999-07-21,1379.29
1999-07-22,1360.97
1999-07-23,1356.94
1999-07-26,1347.76
1999-07-27,1362.84
1999-07-28,1365.4
1999-07-29,1341.03
1999-07-30,1328.72
1999-08-02,1328.05
